ID,Date,Email,Zip,Age,Height_Ft,Height_In,Weight_lbs,Married
1,2024-07-01,john.doe@example.com,12345,29,5,11,175,Married
2,2024-07-01,john.doe@example.com,12345,29,5,11,175,Married
3,2024-07-02,jane.smith@example,54321,,5,4,130,Single
4,2024-07-02,jane.smith@domain.com,54321,,5,4,130,Single
5,2024-07-03,michael.jones@example.com,11111,35,5,8,200,Married
6,2024-07-03,michael.jones@example.com,11111,35,,200,Married
7,2024-07-04,emily.brown@example.com,22222,22,5,2,120,Single
8,2024-07-04,emily.brown@example.com,22222,22,5,2,120,Single
9,2024-07-05,olivia.white@example.com,33333,30,5,7,170,Married
10,2024-07-05,olivia.white@example.com,33333,30,5,7,170,Married
11,2024-07-06,liam.johnson@example.com,44444,40,6,1,210,Single
12,2024-07-06,liam.johnson@example.com,44444,40,6,1,210,Single
13,2024-07-07,ava.martin@example.com,55555,,5,6,150,Married
14,2024-07-07,ava.martin@example.com,55555,,5,6,150,Married
15,2024-07-08,noah.davis@example.com,66666,28,5,10,165,Married
16,2024-07-08,noah.davis@example.com,66666,28,5,10,165,Married
17,2024-07-09,sophia.garcia@example.com,77777,27,5,9,140,Single
18,2024-07-09,sophia.garcia@example.com,77777,27,5,9,140,Single
19,2024-07-10,benjamin.lee@example.com,88888,32,5,11,190,Married
20,2024-07-10,benjamin.lee@example.com,88888,32,5,11,190,Married
21,,,,,,,,,
22,,,,,,,,,
23,,,,,,,,,
24,,,,,,,,,
25,,,,,,,,,
